STATUS;CODMTC;DATA_INCLUSAO;USUINC;PC;FILPC;PV;FILPV;TIPCAR;CODPRODUTO;SITUAC;CODTOMADOR;TOMADOR;LINHA;PONTOINI;PONTOFIM;DATRET;DATENT;CODREM;REMETENTE;CODDES;DESTINATARIO;FM;OBSERV;DATINC;CTE;FILIALCTE;SERIECTE;TOTALFRETE;PRODUTO
;;2024-02-06 10:28:00;KANNANDA.SANTOS;584;41;569,0;41,0;3;96,0;B;61;ARCELOR MITTAL;NSSJFR;SE;MG;2024-02-07;2024-02-12;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-06;2179,0;41,0;1,0;21678.55;SUCATA
;;2024-02-01 15:41:00;michael.ramos;4976;42;4843,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAJUA;DF;BA;2024-02-01;2024-02-06;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-01;13199,0;42,0;1,0;14204.55;TELAS
;;2024-02-02 15:27:00;geovanna.saraiva;4977;42;4844,0;42,0;3;344,0;B;61;ARCELOR MITTAL;PGRBRa;SP;DF;2024-02-02;2024-02-05;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-02;13200,0;42,0;1,0;9899.10;TELAS
ERRO DO USUÁRIO;11,0;2024-02-02 15:54:00;michael.ramos;4978;42;4845,0;42,0;3;97712,0;C;61;ARCELOR MITTAL;BRACNJ;DF;PA;2024-02-02;2024-02-06;61;ARCELOR MITTAL;;;0.00;;2024-02-02;;;;;25,00 BELGO 50 PRONTO 0D A
;;2024-02-02 16:31:00;michael.ramos;4979;42;4846,0;42,0;3;97712,0;B;61;ARCELOR MITTAL;BRACNJ;DF;PA;2024-02-02;2024-02-08;61;ARCELOR MITTAL;;;0.00;;2024-02-02;13202,0;42,0;1,0;19962.27;25,00 BELGO 50 PRONTO 0D A
ERRO DO USUÁRIO;11,0;2024-02-03 11:17:00;michael.ramos;4980;42;4847,0;42,0;3;344,0;C;61;ARCELOR MITTAL;BRAPSU;DF;BA;2024-02-03;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;;;;;TELAS
;;2024-02-03 11:35:00;michael.ramos;4981;42;4848,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAPVH;DF;RO;2024-02-03;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;13204,0;42,0;1,0;23232.28;TELAS
;;2024-02-03 11:57:00;michael.ramos;4982;42;4849,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMAA;DF;CE;2024-02-03;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;13205,0;42,0;1,0;8568.01;TELAS
;;2024-02-03 12:00:00;michael.ramos;4983;42;4850,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMAA;DF;CE;2024-02-03;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;13206,0;42,0;1,0;9511.91;TELAS
;;2024-02-03 12:02:00;michael.ramos;4984;42;4851,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMAA;DF;CE;2024-02-03;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;13207,0;42,0;1,0;1585.05;TELAS
;;2024-02-03 12:04:00;michael.ramos;4985;42;4852,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMAA;DF;CE;2024-02-03;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;13208,0;42,0;1,0;1585.05;TELAS
;;2024-02-05 09:39:00;michael.ramos;4986;42;4853,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRACDS;DF;BA;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13209,0;42,0;1,0;12784.09;TELAS
;;2024-02-05 12:53:00;michael.ramos;4987;42;4854,0;42,0;3;2147,0;B;61;ARCELOR MITTAL;BRAPVH;DF;RO;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13211,0;42,0;1,0;5332.45;TRELICA
;;2024-02-05 12:56:00;michael.ramos;4988;42;4855,0;42,0;3;344,0;D;61;ARCELOR MITTAL;BRAPVH;DF;RO;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;;;;;TELAS
;;2024-02-05 12:58:00;michael.ramos;4989;42;4856,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAPVH;DF;RO;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13212,0;42,0;1,0;2444.57;TELAS
;;2024-02-05 13:00:00;michael.ramos;4990;42;4857,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAPVH;DF;RO;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13214,0;42,0;1,0;11407.99;TELAS
;;2024-02-05 13:22:00;michael.ramos;4991;42;4858,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAPVH;DF;RO;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13213,0;42,0;1,0;3258.17;TELAS
;;2024-02-05 13:50:00;michael.ramos;4992;42;4859,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRABAS;DF;BA;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13215,0;42,0;1,0;7670.45;TELAS
;;2024-02-05 14:45:00;michael.ramos;4993;42;4860,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMCP;DF;AP;2024-02-05;2024-02-10;61;ARCELOR MITTAL;;;0.00;;2024-02-05;13216,0;42,0;1,0;2468.47;TELAS
;;2024-02-05 14:53:00;michael.ramos;4994;42;4861,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMCP;DF;AP;2024-02-05;2024-02-10;61;ARCELOR MITTAL;;;0.00;;2024-02-05;13217,0;42,0;1,0;1683.38;TELAS
;;2024-02-05 14:57:00;michael.ramos;4995;42;4862,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAMCP;DF;AP;2024-02-05;2024-02-15;61;ARCELOR MITTAL;;;0.00;;2024-02-05;13218,0;42,0;1,0;3780.22;TELAS
;;2024-02-05 15:02:00;michael.ramos;4997;42;4863,0;42,0;3;31467,0;B;61;ARCELOR MITTAL;BRAMCP;DF;AP;2024-02-05;2024-02-15;61;ARCELOR MITTAL;;;0.00;;2024-02-05;13219,0;42,0;1,0;7171.53;CA50 10,00 MM BARRA RETA VERGALHAO 12,00 METROS
;;2024-02-05 15:06:00;michael.ramos;4998;42;4864,0;42,0;3;31463,0;B;61;ARCELOR MITTAL;BRAMCP;DF;AP;2024-02-05;2024-02-15;61;ARCELOR MITTAL;;;0.00;;2024-02-05;13220,0;42,0;1,0;19303.28;BELGO 25 CA25 10,00 MM BARRA RETA 12,00 METROS
;;2024-02-05 16:36:00;michael.ramos;4999;42;4865,0;42,0;3;97713,0;B;61;ARCELOR MITTAL;BRACNJ;DF;PA;2024-02-05;2024-02-10;61;ARCELOR MITTAL;;;0.00;;2024-02-05;13221,0;42,0;1,0;20559.55;16,00 BELGO 50 PRONTO 0D A
;;2024-02-05 17:02:00;michael.ramos;5000;42;4866,0;42,0;3;2147,0;B;61;ARCELOR MITTAL;BRAVTC;DF;BA;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13222,0;42,0;1,0;1774.86;TRELICA
;;2024-02-05 17:05:00;michael.ramos;5001;42;4867,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVTC;DF;BA;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13223,0;42,0;1,0;4339.50;TELAS
;;2024-02-05 17:09:00;michael.ramos;5002;42;4868,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVTC;DF;BA;2024-02-05;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;13224,0;42,0;1,0;5533.36;TELAS
;;2024-02-06 08:48:00;michael.ramos;5003;42;4869,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAJUA;DF;BA;2024-02-06;2024-02-12;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-06;13225,0;42,0;1,0;14204.55;TELAS
;;2024-02-06 09:35:00;michael.ramos;5004;42;4870,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAJUA;DF;BA;2024-02-06;2024-02-10;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-06;13226,0;42,0;1,0;14204.55;TELAS
;;2024-02-09 10:52:00;michael.ramos;5006;42;4872,0;42,0;3;91512,0;D;61;ARCELOR MITTAL;BRACNJ;DF;PA;2024-02-09;2024-02-17;61;ARCELOR MITTAL;;;0.00;;2024-02-09;;;;;BELGO 50 CA50 8,00 MM SOLDAVEL
;;2024-02-09 11:53:00;michael.ramos;5007;42;4873,0;42,0;3;91512,0;B;61;ARCELOR MITTAL;BRACNJ;DF;PA;2024-02-09;2024-02-15;61;ARCELOR MITTAL;;;0.00;;2024-02-09;13227,0;42,0;1,0;20721.82;BELGO 50 CA50 8,00 MM SOLDAVEL
;;2024-02-09 13:35:00;michael.ramos;5008;42;4874,0;42,0;3;97712,0;B;61;ARCELOR MITTAL;BRAPLM;DF;TO;2024-02-09;2024-02-15;61;ARCELOR MITTAL;;;0.00;;2024-02-09;13228,0;42,0;1,0;8205.85;25,00 BELGO 50 PRONTO 0D A
;;2024-02-09 13:40:00;michael.ramos;5009;42;4875,0;42,0;3;97712,0;B;61;ARCELOR MITTAL;BRAPLM;DF;TO;2024-02-09;2024-02-15;61;ARCELOR MITTAL;;;0.00;;2024-02-09;13229,0;42,0;1,0;135.28;25,00 BELGO 50 PRONTO 0D A
;;2024-02-09 14:03:00;michael.ramos;5010;42;4876,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAARQ;DF;SP;2024-02-09;2024-02-15;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-09;13230,0;42,0;1,0;435.66;TELAS
;;2024-02-09 14:04:00;michael.ramos;5011;42;4877,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAARQ;DF;SP;2024-02-09;2024-02-15;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-09;13231,0;42,0;1,0;8371.16;TELAS
;;2024-02-09 15:35:00;michael.ramos;5012;42;4878,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVRD;DF;RJ;2024-02-09;2024-02-15;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-09;13232,0;42,0;1,0;10588.95;TELAS
;;2024-02-09 16:53:00;michael.ramos;5013;42;4879,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVRD;DF;RJ;2024-02-09;2024-02-15;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-09;13234,0;42,0;1,0;10588.95;TELAS
;;2024-02-11 10:10:00;PAULO.PAULA;5014;42;4880,0;42,0;1;344,0;D;61;ARCELOR MITTAL;BRAVIV;DF;ES;2024-02-11;2024-02-11;61;ARCELOR MITTAL;;;0.00;;2024-02-11;13235,0;42,0;1,0;10723.33;TELAS
;;2024-02-12 10:38:00;michael.ramos;5015;42;4881,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVTC;DF;BA;2024-02-12;2024-02-18;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-12;13236,0;42,0;1,0;4076.47;TELAS
;;2024-02-12 10:42:00;michael.ramos;5016;42;4882,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVTC;DF;BA;2024-02-12;2024-02-18;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-12;13237,0;42,0;1,0;2911.93;TELAS
;;2024-02-12 10:45:00;michael.ramos;5017;42;4883,0;42,0;3;344,0;B;61;ARCELOR MITTAL;BRAVTC;DF;BA;2024-02-12;2024-02-18;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-12;13238,0;42,0;1,0;4659.33;TELAS
;;2024-02-14 16:54:00;michael.ramos;5019;42;4884,0;42,0;3;28172,0;B;61;ARCELOR MITTAL;BRACNJ;DF;PA;2024-02-14;2024-02-20;61;ARCELOR MITTAL;;;0.00;;2024-02-14;13240,0;42,0;1,0;21023.86;BARRA TRANSFERENCIA BELGO 25MM
;;2024-02-02 17:55:00;anderson.miranda;14366;45;14242,0;45,0;3;96,0;B;61;ARCELOR MITTAL;CGBJFR;MT;MG;2024-02-02;2024-02-02;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-02;19891,0;45,0;1,0;13920.45;SUCATA
;;2024-02-09 16:19:00;anderson.miranda;14368;45;14244,0;45,0;3;96,0;B;61;ARCELOR MITTAL;CGBJFR;MT;MG;2024-02-09;2024-02-09;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-09;19897,0;45,0;1,0;13352.27;SUCATA
;;2024-02-06 12:12:00;anderson.miranda;15978;34;6171,0;34,0;3;96,0;B;61;ARCELOR MITTAL;LZNJFR;GO;MG;2024-02-06;2024-02-06;306;CIF METALCAP;61,0;ARCELOR MITTAL;0.00;;2024-02-06;17914,0;34,0;1,0;6912.50;SUCATA
;;2024-02-01 08:26:00;FELIPE.BIANCHETTI;69597;29;18177,0;29,0;5;30389,0;B;61;ARCELOR MITTAL;JFRDVN;MG;MG;2024-02-01;2024-02-05;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-01;45832,0;29,0;1,0;2310.84;CA60 5,00 NERV RETO 12,0 M FX 2500 KG
;;2024-02-01 08:46:00;FELIPE.BIANCHETTI;69598;29;18178,0;29,0;5;27492,0;B;61;ARCELOR MITTAL;JFRFRM;MG;MG;2024-02-01;2024-02-05;61;ARCELOR MITTAL;;;0.00;;2024-02-01;45833,0;29,0;1,0;1203.44;CA50 16,00 MM BARRA RETA VERGALHAO 12,00 METROS
;;2024-02-03 14:27:00;FELIPE.BIANCHETTI;69605;29;18183,0;29,0;5;19346,0;B;61;ARCELOR MITTAL;JFRCGB;MG;MT;2024-02-03;2024-02-03;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;45860,0;29,0;1,0;10119.77;CA50 NUCLEO OCT.10,00 ROLO 2000 KG SOLDA
;;2024-02-03 14:56:00;FELIPE.BIANCHETTI;69606;29;18184,0;29,0;5;23860,0;B;61;ARCELOR MITTAL;JFRCGB;MG;MT;2024-02-03;2024-02-07;61;ARCELOR MITTAL;;;0.00;;2024-02-03;45861,0;29,0;1,0;1010.87;CA50 NUCLEO OCT.12,50 ROLO 2000 KG SOLDA
;;2024-02-03 21:24:00;FELIPE.BIANCHETTI;69607;29;18185,0;29,0;3;77,0;B;61;ARCELOR MITTAL;JFRCDS;MG;BA;2024-02-03;2024-02-07;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-03;45863,0;29,0;1,0;564.40;ARAME RECOZIDO
;;2024-02-04 10:48:00;FELIPE.BIANCHETTI;69608;29;18186,0;29,0;3;78723,0;M;61;ARCELOR MITTAL;JFREUS;MG;BA;2024-02-04;2024-02-07;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-04;45870,0;29,0;1,0;896.72;BELGO 60 CA60 4,20MM RETO 12,00 METROS
;;2024-02-05 08:59:00;KANNANDA.SANTOS;69609;29;138988,0;26,0;3;29533,0;D;61;ARCELOR MITTAL;JFRVRD;MG;RJ;2024-02-05;2024-02-06;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;45882,0;29,0;1,0;1106.50;CA50 NUCLEO OCT.6,30 ROLO 2000 KG SOLDAV
;;2024-02-05 09:13:00;FELIPE.BIANCHETTI;69611;29;18188,0;29,0;3;69,0;B;61;ARCELOR MITTAL;JFRAGN;MG;TO;2024-02-05;2024-02-09;61;ARCELOR MITTAL;;;0.00;;2024-02-05;45878,0;29,0;1,0;3410.05;PREGO
;;2024-02-05 10:00:00;FELIPE.BIANCHETTI;69612;29;18189,0;29,0;3;2147,0;B;61;ARCELOR MITTAL;JFRCFB;MG;MG;2024-02-05;2024-02-07;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;45879,0;29,0;1,0;293.79;TRELICA
;;2024-02-05 10:03:00;FELIPE.BIANCHETTI;69613;29;18190,0;29,0;3;2147,0;B;61;ARCELOR MITTAL;JFRCFB;MG;MG;2024-02-05;2024-02-07;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;45880,0;29,0;1,0;587.60;TRELICA
;;2024-02-05 10:03:00;FELIPE.BIANCHETTI;69614;29;18191,0;29,0;3;2147,0;B;61;ARCELOR MITTAL;JFRCFB;MG;MG;2024-02-05;2024-02-07;61;ARCELOR MITTAL;61,0;ARCELOR MITTAL;0.00;;2024-02-05;45881,0;29,0;1,0;2643.89;TRELICA
